ERROR - 2019-08-10 13:49:39 --> Could not find the language line "news"
ERROR - 2019-08-10 13:49:39 --> Could not find the language line "video"
ERROR - 2019-08-10 14:20:32 --> Severity: Notice --> Undefined index: description_footer /var/www/tomita-mart/application/views/public/default/_footer.php 33
ERROR - 2019-08-10 14:20:32 --> Severity: Notice --> Undefined index: slogan /var/www/tomita-mart/application/views/public/default/_footer.php 34
ERROR - 2019-08-10 14:20:37 --> Severity: Notice --> Undefined index: description_footer /var/www/tomita-mart/application/views/public/default/_footer.php 33
ERROR - 2019-08-10 14:20:37 --> Severity: Notice --> Undefined index: slogan /var/www/tomita-mart/application/views/public/default/_footer.php 34
ERROR - 2019-08-10 14:20:38 --> Severity: Notice --> Undefined index: description_footer /var/www/tomita-mart/application/views/public/default/_footer.php 33
ERROR - 2019-08-10 14:20:38 --> Severity: Notice --> Undefined index: slogan /var/www/tomita-mart/application/views/public/default/_footer.php 34
ERROR - 2019-08-10 14:20:45 --> Severity: Error --> Call to undefined method System_menu_model::child() /var/www/tomita-mart/application/controllers/admin/System_menu.php 95
ERROR - 2019-08-10 14:22:40 --> Severity: Error --> Call to undefined method System_menu_model::child() /var/www/tomita-mart/application/controllers/admin/System_menu.php 95
ERROR - 2019-08-10 14:27:05 --> Could not find the language line "news"
ERROR - 2019-08-10 14:27:05 --> Could not find the language line "video"
ERROR - 2019-08-10 14:27:05 --> Severity: Notice --> Undefined index: description_footer /var/www/tomita-mart/application/views/public/default/_footer.php 33
ERROR - 2019-08-10 14:27:05 --> Severity: Notice --> Undefined index: slogan /var/www/tomita-mart/application/views/public/default/_footer.php 34
